JST,LAX-FRIEDRICH
2.119025148,2.119025148
1.859295756,1.797013227
1.789804773,1.668438303
1.705298415,1.573178979
1.61703482,1.447025847
1.586669533,1.317307719
1.561676563,1.19633621
1.511234238,1.100868306
1.455084598,1.060330654
1.422579533,1.053096165
1.416780598,1.035791318
1.410846452,0.9869772637
1.383268549,0.9024630278
1.327623932,0.7831108799
1.250836615,0.6310804535
1.17238213,0.4575471108
1.122242275,0.2999999465
1.105501819,0.2204030351
1.099788653,0.2087434677
1.084802274,0.2021626263
1.052492631,0.1735955391
1.002574019,0.1187178746
0.9389348098,0.03978989015
0.8699724452,-0.06042648136
0.8052700429,-0.1787975055
0.7538171419,-0.3103078643
0.717730301,-0.4467785024
0.691639457,-0.5748153913
0.6683912257,-0.6787851642
0.6444207791,-0.7561361567
0.6190852018,-0.8170963228
0.591843324,-0.8758415617
0.5619080273,-0.9409601484
0.5288316162,-1.01651695
0.4932849751,-1.102855565
0.4562851806,-1.199980487
0.4180276447,-1.306685139
0.3788242402,-1.420142536
0.3383790909,-1.535246658
0.2979776597,-1.64469376
0.2562723125,-1.740470179
0.213094027,-1.820213204
0.1680929662,-1.886521542
0.1224227834,-1.94630207
0.07852852214,-2.00603607
0.03819229552,-2.070273505
0.002486004189,-2.14125366
-0.0297222737,-2.219513202
-0.0608539347,-2.304574597
-0.09328785555,-2.396896732
-0.1300964315,-2.493320014
-0.1734491405,-2.590692778
-0.2234101054,-2.685814212
-0.2768636125,-2.775287639
-0.3271925225,-2.857562512
-0.3668739268,-2.93322579
-0.3927654355,-3.005262121
-0.4092886821,-3.076309515
-0.4229306712,-3.149062701
-0.4392105134,-3.225734614
-0.4619014854,-3.306826743
-0.490980305,-3.392955955
-0.525254247,-3.483757635
-0.5623003248,-3.578001916
-0.5986918215,-3.67362104
-0.6315070593,-3.767729139
-0.6604720635,-3.858424211
-0.6876780331,-3.943904694
-0.7158738484,-4.023712624
-0.7473380627,-4.098969634
-0.7830833786,-4.171812649
-0.8225245229,-4.244378712
-0.8641884142,-4.318388317
-0.905008451,-4.394909718
-0.9401005241,-4.474260283
-0.9671765133,-4.55653241
-0.9862524154,-4.640029773
-1.000382157,-4.723643043
-1.013234865,-4.806154921
-1.028180165,-4.886522634
-1.046961396,-4.964140765
-1.069506393,-5.038700029
-1.094782914,-5.112053847
-1.121585353,-5.184474634
-1.149015655,-5.257911786
-1.176759492,-5.331992018
-1.205057805,-5.407631077
-1.234558418,-5.485177421
-1.265900494,-5.564563165
-1.299388234,-5.645307455
-1.334662726,-5.726640652
-1.371471458,-5.807714269
-1.408439843,-5.887808349
-1.443375455,-5.966488526
-1.473483722,-6.043659542
-1.499307859,-6.119438581
-1.522094842,-6.194109315
-1.543240545,-6.268719626
-1.564307426,-6.343663099
-1.58699368,-6.419263711
-1.612686441,-6.49573716
-1.641636202,-6.573087037
-1.673287293,-6.651081888
-1.706623472,-6.729358565
-1.740665258,-6.807635477
-1.774864471,-6.886053586
-1.809257597,-6.964026137
-1.844285301,-7.041384548
-1.880445405,-7.118103446
-1.91803281,-7.194343888
-1.956903002,-7.270395114
-1.996273025,-7.346561807
-2.034667668,-7.423126652
-2.07015715,-7.500218733
-2.1011695,-7.577870771
-2.126654841,-7.655969742
-2.148008372,-7.734305421
-2.168081778,-7.81265095
-2.188997214,-7.890810815
-2.212447698,-7.968572535
-2.239258486,-8.045386434
-2.269648196,-8.122073352
-2.302896449,-8.19846016
-2.337658865,-8.274523409
-2.372811465,-8.350516108
-2.408054174,-8.426441115
-2.443879846,-8.502527011
-2.481082577,-8.578976989
-2.5202477,-8.654908211
-2.561454516,-8.731318028
-2.604153851,-8.807407649
-2.647143882,-8.884962213
-2.688706101,-8.96178422
-2.727064744,-9.039259934
-2.761138495,-9.116495237
-2.791120919,-9.192892812
-2.818402023,-9.268989886
-2.844945578,-9.345231779
-2.872606552,-9.422660083
-2.902667794,-9.499791349
-2.935626122,-9.577707483
-2.971196366,-9.656410388
-3.008513467,-9.7302656
-3.0465242,-9.812501002
-3.084475696,-9.886308295
-3.122243089,-9.960860966
-3.160313685,-10.04079057
-3.199499416,-10.11465714
-3.240528896,-10.18967085
-3.283636651,-10.26742219
-3.32822893,-10.33993222
-3.372735659,-10.4138489
-3.414882636,-10.48653773
-3.452579796,-10.55982007
-3.484374875,-10.61513865
-3.511905387,-10.68441768
-3.53785381,-10.74618594
-3.564075178,-10.80592168
-3.593543428,-10.90305405
-3.627200661,-10.93485832
-3.664625936,-10.98137453
-3.704633477,-11.05883685
-3.745358883,-11.06719511
-3.785202405,-11.0590415
-3.823801771,-11.08486444
-3.862067967,-11.1810184
-3.901443311,-11.13809243
-3.943135562,-11.1782786
-3.987681283,-11.18271874
-4.034747815,-11.20446452
-4.082991656,-11.20466142
-4.130065788,-11.22231312
-4.172664318,-11.1479559
-4.209703054,-11.23938818
-4.241549155,-11.24029266
-4.270495199,-11.30258823
-4.299610326,-11.20960495
-4.331379051,-11.16600135
-4.366921128,-11.15790362
-4.407817721,-11.17846549
-4.453039927,-11.19653674
-4.499164899,-11.02863232
-4.54251375,-11.15886943
-4.581585012,1.277812281
-4.617614652,0.9412908438
-4.653194069,0.9987321986
-4.69071078,0.9338971839
-4.730528868,0.7807813431
-4.773905689,0.5939140062
-4.820552807,0.4771465819
-4.86766505,0.4522744366
-4.912109176,0.4352579844
-4.951047398,0.3917187981
-4.984057795,0.323601905
-5.012625185,0.2346664173
-5.041130375,0.1300049335
-5.073005263,0.01379688298
-5.110520041,-0.1099871601
-5.154032766,-0.2365451181
-5.201838314,-0.3593642066
-5.249992039,-0.4706655494
-5.293648465,-0.5644630385
-5.329417763,-0.6402373019
-5.357327504,-0.7047695332
-5.380407491,-0.7638115968
-5.403589255,-0.8237779359
-5.429168715,-0.8881851152
-5.458126168,-0.9585749545
-5.490350141,-1.035184813
-5.524791128,-1.117566105
-5.559457086,-1.204833103
-5.592538208,-1.296828809
-5.62269831,-1.392088229
-5.650209282,-1.4895021
-5.677980234,-1.587443252
-5.708731532,-1.68565995
-5.743920299,-1.783241915
-5.783431773,-1.879313085
-5.825426029,-1.973001703
-5.866691163,-2.06349912
-5.903802816,-2.15020947
-5.934170531,-2.232916503
-5.95702167,-2.311832676
-5.974204456,-2.38763038
-5.989545125,-2.461396655
-6.006444198,-2.534699025
-6.026801906,-2.60799621
-6.050833352,-2.681482349
-6.077659914,-2.755677045
-6.106048936,-2.830750129
-6.134976354,-2.906661969
-6.163949809,-2.98321442
-6.193120104,-3.060115117
-6.223160291,-3.137053296
-6.254908905,-3.21376035
-6.288965828,-3.290016488
-6.325331532,-3.365134356
-6.363348579,-3.440718221
-6.401902889,-3.517103483
-6.438553498,-3.592283276
-6.470195314,-3.668418919
-6.496250878,-3.744879629
-6.518595098,-3.822029891
-6.539049804,-3.900235923
-6.559028596,-3.979557699
-6.579440758,-4.059780389
-6.60272142,-4.140646559
-6.629589046,-4.221904353
-6.659265101,-4.302827663
-6.69047973,-4.383832373
-6.722200684,-4.464709597
-6.754052485,-4.545335761
-6.786333873,-4.62564342
-6.819679283,-4.705601859
-6.85463332,-4.785206039
-6.891350896,-4.864466275
-6.929459176,-4.943410663
-6.968034809,-5.021093017
-7.005667489,-5.09895515
-7.040772101,-5.17714517
-7.072133643,-5.254863995
-7.099476831,-5.332083844
-7.123646052,-5.40890073
-7.146229267,-5.485343094
-7.168965727,-5.561434805
-7.193270276,-5.637229055
-7.219956594,-5.712797748
-7.24918573,-5.788213845
-7.280597151,-5.863544189
-7.313545052,-5.938859316
-7.347389145,-6.014238561
-7.381802638,-6.089567215
-7.416826474,-6.165297937
-7.452774523,-6.241506399
-7.490005554,-6.318025378
-7.528659274,-6.394847294
-7.568371351,-6.472056616
-7.60824391,-6.549625596
-7.646851743,-6.627444391
-7.682695565,-6.70544657
-7.714854986,-6.783596282
-7.743443597,-6.861847777
-7.769549388,-6.940112789
-7.794806116,-7.018293149
-7.820830085,-7.095170605
-7.848797396,-7.173491838
-7.879202174,-7.250002491
-7.91199848,-7.32843943
-7.946686882,-7.40557651
-7.982574945,-7.483513559
-8.019159312,-7.561169766
-8.056263471,-7.638775466
-8.094012526,-7.716433015
-8.132843729,-7.794050523
-8.173106137,-7.871617608
-8.214819361,-7.949036311
-8.257455958,-8.026333507
-8.299821608,-8.103489929
-8.340473886,-8.180432737
-8.377792991,-8.257295752
-8.411257644,-8.334118722
-8.441254058,-8.41075849
-8.469320555,-8.487538555
-8.497400069,-8.564329667
-8.526945946,-8.641349589
-8.558934136,-8.717306954
-8.593616728,-8.794945773
-8.630730545,-8.871045181
-8.669151969,-8.948078868
-8.708585852,-9.024501178
-8.747887884,-9.101308286
-8.787552804,-9.178740142
-8.82778318,-9.255610797
-8.869326381,-9.332748501
-8.912552712,-9.409439454
-8.957563481,-9.487604414
-9.003803775,-9.564510868
-9.049467228,-9.642265389
-9.092475209,-9.720394601
-9.130909889,-9.795917276
-9.164134856,-9.873119182
-9.193878681,-9.953521004
-9.222545122,-10.02542928
-9.252366648,-10.10303226
-9.286205124,-10.18138097
-9.324374995,-10.26347466
-9.365938771,-10.33020863
-9.40991267,-10.4046697
-9.453411206,-10.48108523
-9.494166925,-10.56531355
-9.534813069,-10.61664868
-9.573677027,-10.69067603
-9.613339351,-10.76583596
-9.65615625,-10.80379494
-9.701751759,-10.89771761
-9.750255567,-10.93761082
-9.799205236,-10.97192072
-9.844520828,-11.05654648
1.336499765,-11.07451042
1.116973613,-11.10084351
1.186655781,-11.11234215
1.157005683,-11.1480647
1.15527516,-11.17737405
1.157177672,-11.13447797
1.116289914,-11.13855417
1.03301118,-11.09989461
0.9438717661,-11.11859693
0.9059678828,-11.22143116
0.9120484085,-11.24466835
0.9139983809,-11.15294628
0.8938324,-11.16994961
0.8535015953,-11.31095793
0.8015781155,-11.24187845
0.748582482,-11.12938334
0.7048419722,-11.10671063
0.6666670519,-11.15423853
0.6303964345,-11.03327578
0.5956085191,-11.17584964
0.5607864787,-11.21340814
0.5235479823,-11.12579609
0.4847262452,-11.19563957
0.4467376198,-11.14125116
0.409734981,0.8615045826
0.373015341,0.5236851809
0.336145611,0.5808064545
0.2994258974,0.5151937236
0.2628588571,0.3608279826
0.2276298727,0.1732430714
0.1926458979,0.0584209693
0.1567866104,0.03536101016
0.1201760447,0.01787628764
0.08327071578,-0.02708164016
0.04653296404,-0.09702344859
0.0106845491,-0.1880006958
-0.02313525233,-0.2949095574
-0.05422460091,-0.4135417434
-0.08285259215,-0.5397418892
-0.1102451472,-0.6681849508
-0.1374127073,-0.7914169345
-0.1656247439,-0.9007812299
-0.195585307,-0.9905830275
-0.2274038196,-1.062300777
-0.2603064465,-1.123240288
-0.2933386975,-1.181350097
-0.3260376135,-1.242108026
-0.3588054743,-1.308103416
-0.3911767229,-1.380606609
-0.4226123018,-1.459644121
-0.4531629595,-1.544651573
-0.4837945329,-1.634525664
-0.5151285555,-1.728752779
-0.5471714822,-1.825563928
-0.5796612071,-1.92335012
-0.6126790234,-2.020181031
-0.6458024089,-2.11582143
-0.6785107944,-2.20968261
-0.710698158,-2.301637717
-0.7422270636,-2.391688539
-0.7736163632,-2.479754416
-0.8049573474,-2.565600912
-0.8361540758,-2.648867238
-0.8672276114,-2.729248119
-0.8981766971,-2.806813158
-0.9290176514,-2.882748535
-0.9598971374,-2.956592557
-0.9908081897,-3.029222307
-1.021744042,-3.101891754
-1.052796161,-3.176063504
-1.08399324,-3.25049731
-1.114566102,-3.325655442
-1.14518028,-3.401691703
-1.176072353,-3.478550099
-1.207543315,-3.555964648
-1.239236203,-3.633547988
-1.270401426,-3.710920778
-1.300487629,-3.787806016
-1.329131885,-3.864034334
-1.356495869,-3.939244098
-1.383022159,-4.014559554
-1.409286311,-4.090031529
-1.435840178,-4.16575236
-1.463135844,-4.24193296
-1.491496688,-4.31885461
-1.52111276,-4.396706903
-1.552016045,-4.475550273
-1.583902505,-4.555777708
-1.616323762,-4.636503781
-1.647609129,-4.717615317
-1.679905225,-4.798872864
-1.712132185,-4.87996957
-1.743109814,-4.96061772
-1.77442879,-5.040644298
-1.80474191,-5.119626158
-1.834958658,-5.198323718
-1.865341264,-5.276910449
-1.895839106,-5.354233606
-1.926347865,-5.431867764
-1.956764044,-5.510269394
-1.987004133,-5.58848122
-2.017060792,-5.666544142
-2.047028527,-5.744458909
-2.077080263,-5.822152558
-2.107688842,-5.89954436
-2.139795577,-5.976567522
-2.172363728,-6.053180734
-2.204771519,-6.129380449
-2.237064617,-6.205202646
-2.269332704,-6.280713277
-2.301546336,-6.356012015
-2.333670358,-6.43121972
-2.365043025,-6.50627461
-2.395995265,-6.581536448
-2.427286917,-6.65694957
-2.459812173,-6.73298758
-2.493975836,-6.809114273
-2.528800718,-6.885684765
-2.566046411,-6.962590607
-2.605031077,-7.039717439
-2.645220379,-7.11721398
-2.686066476,-7.194429537
-2.727155421,-7.272108051
-2.768314182,-7.349799732
-2.809534677,-7.427614842
-2.850875638,-7.505533707
-2.892411251,-7.583502394
-2.93420536,-7.66145701
-2.976278097,-7.73945132
-3.018554514,-7.817389182
-3.060816432,-7.895323287
-3.102687436,-7.973125546
-3.143646338,-8.050765193
-3.182953465,-8.128366659
-3.221268014,-8.205818044
-3.257074173,-8.283177256
-3.290903616,-8.360347958
-3.3233954,-8.437522904
-3.354920032,-8.514585932
-3.385630642,-8.591788429
-3.415607761,-8.668994015
-3.444880644,-8.746150033
-3.473418078,-8.823219681
-3.501176092,-8.900343705
-3.528178328,-8.976457277
-3.554568306,-9.053891933
-3.580604067,-9.130084838
-3.606607356,-9.206930414
-3.632898221,-9.283392044
-3.659740463,-9.361282399
-3.687309564,-9.438246048
-3.715684511,-9.515159416
-3.744859866,-9.591564938
-3.77477218,-9.667384827
-3.805333842,-9.746631689
-3.835647895,-9.822884155
-3.867553635,-9.899518382
-3.900351747,-9.972184082
-3.933661763,-10.04994286
-3.967460308,-10.12929449
-4.001879593,-10.20254502
-4.037069391,-10.28109319
-4.07313353,-10.35733699
-4.110112824,-10.43039358
-4.147992179,-10.50476943
-4.186718904,-10.57535373
-4.226223457,-10.64005609
-4.266436132,-10.70724821
-4.307291511,-10.77574521
-4.348685593,-10.84332641
-4.391412472,-10.89577662
-4.434554591,-10.92970221
-4.478595908,-11.00959212
-4.523856828,-11.04402872
-4.570439543,-11.08461156
-4.618287508,-11.12040297
-4.667256552,-11.10874791
-4.716767392,-11.18591644
-4.767588286,-11.19244442
-4.819008443,-11.17935206
-4.870716938,-11.21350739
-4.922586878,-11.16458005
-4.974530802,-11.22455064
-5.026382242,-11.14956149
-5.077845452,-11.22514674
-5.128514214,-11.22107441
-5.177917905,-11.2049287
-5.225557121,-11.14307122
-5.270924747,-11.145562
-5.313522706,-11.1831786
-5.354309643,-11.10333757
-5.39207823,-11.19234509
-5.426714096,-11.17939668
-5.458854858,0.4359009308
-5.489375001,0.0982244348
-5.518910911,0.1552028191
-5.547780068,0.08952362709
-5.576133598,-0.06481345281
-5.604125302,-0.2523557149
-5.631993167,-0.3671404059
-5.659755873,-0.390511939
-5.688521771,-0.4079829876
-5.718190968,-0.4527727269
-5.748937153,-0.5224666329
-5.781098947,-0.6131691402
-5.81494353,-0.719789543
-5.850597157,-0.8381246276
-5.888065556,-0.9640475564
-5.927263805,-1.092330442
-5.968030396,-1.215708892
-6.010129024,-1.325697873
-6.053248588,-1.416507458
-6.097007604,-1.48869441
-6.140938083,-1.550736785
-6.184288292,-1.609245929
-6.227074331,-1.669590162
-6.269156057,-1.735124026
-6.309366925,-1.807080518
-6.347344867,-1.885587661
-6.382992688,-1.970083513
-6.416275894,-2.059449169
-6.447152539,-2.153338723
-6.475606235,-2.250017514
-6.50173226,-2.348038052
-6.525797786,-2.445581576
-6.548242026,-2.542395686
-6.569570376,-2.637781973
-6.590149271,-2.731336283
-6.610176944,-2.822729319
-6.629764793,-2.91161389
-6.648945334,-2.997637244
-6.667649029,-3.080514251
-6.685757184,-3.160144134
-6.703120127,-3.236859966
-6.719638536,-3.311493857
-6.73525916,-3.385435722
-6.749978911,-3.458066745
-6.763840028,-3.531693267
-6.776903616,-3.605588729
-6.789264682,-3.680214985
-6.801045368,-3.755737149
-6.812387714,-3.832108277
-6.823453933,-3.909097112
-6.834410251,-3.986369993
-6.845430127,-4.063587367
-6.856684154,-4.140475516
-6.868324978,-4.216849205
-6.880503843,-4.292389596
-6.893347698,-4.367466997
-6.906968394,-4.443016055
-6.921457988,-4.518811846
-6.93689523,-4.594792839
-6.953334,-4.671302482
-6.970831231,-4.748643362
-6.989413795,-4.82699423
-7.009120328,-4.90639206
-7.029979129,-4.987203091
-7.05220135,-5.068486941
-7.076572242,-5.150078336
-7.102146471,-5.231704199
-7.128440051,-5.313084113
-7.155639874,-5.393983737
-7.184043675,-5.473813388
-7.213831189,-5.553240251
-7.244549882,-5.632226487
-7.276069357,-5.710893187
-7.308809315,-5.78840039
-7.343220257,-5.866075384
-7.378962769,-5.944445918
-7.41712247,-6.022554175
-7.456840982,-6.100433461
-7.497858656,-6.178087996
-7.540264289,-6.255461969
-7.584187779,-6.332513007
-7.629691524,-6.409216117
-7.676757946,-6.485562848
-7.725326747,-6.561561494
-7.775349336,-6.637243029
-7.826742838,-6.712673569
-7.879460214,-6.78793957
-7.933417232,-6.863158763
-7.988444524,-6.93821032
-8.044335902,-7.013452101
-8.100820434,-7.089318063
-8.157457869,-7.165570752
-8.213754375,-7.242090178
-8.26914302,-7.318663805
-8.322938338,-7.395821435
-8.374457188,-7.472307524
-8.423111153,-7.550947397
-8.46858652,-7.627821513
-8.510337584,-7.705778007
-8.549027823,-7.783487396
-8.582354941,-7.860722958
-8.612007254,-7.938332528
-8.63979201,-8.016033181
-8.665463562,-8.093748791
-8.689887207,-8.171534779
-8.713605046,-8.249461396
-8.737579339,-8.327333756
-8.760801708,-8.405517541
-8.782887367,-8.483599029
-8.804491654,-8.561455402
-8.82415372,-8.639264754
-8.842743437,-8.716789233
-8.86023408,-8.794330012
-8.876577996,-8.872036926
-8.891754144,-8.948838518
-8.906401904,-9.025855986
-8.919797661,-9.103248488
-8.932509512,-9.180007469
-8.945507967,-9.257026656
-8.958439116,-9.333033352
-8.971216753,-9.408994102
-8.985098784,-9.486972208
-8.998986555,-9.563942917
-9.013760995,-9.640702745
-9.031056818,-9.716761019
-9.048968238,-9.792729105
-9.067840201,-9.871585564
-9.087800728,-9.947320236
-9.109236664,-10.02343572
-9.132021029,-10.10166043
-9.156846938,-10.17804283
-9.18332738,-10.25350148
-9.211159399,-10.33428522
-9.241021438,-10.4020425
-9.271859765,-10.47699174
-9.305391474,-10.55787848
-9.34036086,-10.6277814
-9.376943335,-10.69161644
-9.415445685,-10.75304226
-9.455750173,-10.82189899
-9.4974571,-10.86188178
-9.54106245,-10.92980133
0.9087074259,-10.96674579
0.6844104372,-10.99334388
0.7569732621,-11.04029636
0.7272626104,-11.07681154
0.7218756774,-11.04397798
0.7176416203,-11.15704974
0.6699320012,-11.10947269
0.5785471973,-11.12377127
0.4823774257,-11.16245831
0.4411580474,-11.15834044
0.44502184,-11.16000124
0.4440485741,-11.17614392
0.4203143316,-11.20449894
0.3790892491,-11.25149941
0.333454005,-11.26379923
0.2939866977,-11.23092797
0.2641586762,-11.20600462
0.2406173829,-11.29792935
0.2206886006,-11.22979407
0.2004615731,-11.27599587
0.17675525,0.009070131378
0.1487631068,-0.3286865018
0.1152962339,-0.2716721896
0.07533818486,-0.3373579019
0.0281313477,-0.4917401533
-0.0210488376,-0.6793174328
-0.07351170931,-0.7939987005
-0.1262739453,-0.8172942033
-0.1757385137,-0.8347950807
-0.2203240135,-0.8796691252
-0.2632477188,-0.9494801593
-0.3023212248,-1.040315266
-0.3365629962,-1.147084865
-0.367200756,-1.26558464
-0.3954360464,-1.391672295
-0.4235006492,-1.520072947
-0.4528609741,-1.643436105
-0.4841152516,-1.753199158
-0.5173200068,-1.843607966
-0.5524932232,-1.915213861
-0.5895067424,-1.977112913
-0.6290613489,-2.03554042
-0.6703208322,-2.095939804
-0.7124442979,-2.161643117
-0.7538080224,-2.233833433
-0.7941436151,-2.312617217
-0.8294741023,-2.397410171
-0.8614115143,-2.487047164
-0.8914092845,-2.581146943
-0.9219651976,-2.677922993
-0.9539774697,-2.775867457
-0.9872811525,-2.873137085
-1.021254276,-2.969501137
-1.054860704,-3.064319304
-1.086997515,-3.157297939
-1.116983268,-3.248225359
-1.144427165,-3.336842573
-1.169427789,-3.422829716
-1.19241601,-3.505865998
-1.214336219,-3.585773117
-1.236123362,-3.662792842
-1.258902649,-3.737658023
-1.283675043,-3.811737476
-1.31006893,-3.88448917
-1.336984413,-3.958013012
-1.362972163,-4.031730424
-1.386609966,-4.106180944
-1.406845624,-4.18157846
-1.423283751,-4.257895695
-1.436326266,-4.334898096
-1.446931154,-4.412240095
-1.456247577,-4.489567342
-1.465317213,-4.566588891
-1.47499094,-4.643109247
-1.486084027,-4.718947333
-1.499261339,-4.794080826
-1.515026995,-4.869422177
-1.533997641,-4.945054684
-1.556537201,-5.020944993
-1.582663853,-5.097340481
-1.612068151,-5.174524411
-1.644597025,-5.252673613
-1.680082096,-5.331834109
-1.718275178,-5.412393075
-1.758923756,-5.49343071
-1.801839405,-5.574803046
-1.845599931,-5.656258996
-1.890700561,-5.737516492
-1.936855687,-5.818321172
-1.983313908,-5.89808998
-2.031133718,-5.977439374
-2.079590585,-6.056347033
-2.127782313,-6.134969276
-2.174696452,-6.212403658
-2.219380512,-6.290057889
-2.261212857,-6.368456649
-2.299928003,-6.446640435
-2.335404547,-6.524615429
-2.367660185,-6.602382893
-2.398187558,-6.679876722
-2.425054606,-6.757047125
-2.449697586,-6.833859912
-2.472876646,-6.91029579
-2.494954828,-6.986368553
-2.51591673,-7.062102339
-2.535682598,-7.137575006
-2.554381998,-7.212855312
-2.572459345,-7.288071212
-2.590581786,-7.363132749
-2.60944829,-7.438370133
-2.629630555,-7.513990215
-2.651506491,-7.589915983
-2.675272711,-7.666131038
-2.700996863,-7.74250817
-2.728681642,-7.819328672
-2.758326892,-7.896779499
-2.789980087,-7.974587229
-2.823766943,-8.052403659
-2.859897464,-8.130157518
-2.899692489,-8.207926874
-2.941928596,-8.285704068
-2.985897566,-8.363654749
-3.032782944,-8.441880433
-3.083397085,-8.519917487
-3.136877119,-8.598323881
-3.19326948,-8.676577246
-3.251038479,-8.754930087
-3.308331866,-8.833073401
-3.363496717,-8.910871876
-3.415074441,-8.988517489
-3.461545482,-9.066446033
-3.501325689,-9.143867461
-3.535440578,-9.221467221
-3.563857798,-9.298659355
-3.587533121,-9.376453868
-3.608470685,-9.453594626
-3.628752747,-9.529685942
-3.649816407,-9.607586863
-3.672372614,-9.684837967
-3.696692169,-9.760789496
-3.722933546,-9.839115821
-3.751629422,-9.913020748
-3.782857933,-9.98921098
-3.816502841,-10.06542656
-3.852510683,-10.14350982
-3.890424729,-10.21935482
-3.929832577,-10.29869415
-3.970004431,-10.37076597
-4.009006,-10.44657276
-4.04830252,-10.51718817
-4.086473235,-10.59552703
-4.12231066,-10.64162126
-4.155236815,-10.73358402
-4.185181461,-10.77854411
-4.213120888,-10.84577985
-4.23755606,-10.88624359
-4.258923373,-10.93246624
-4.277769785,-11.02683159
-4.294413866,-11.03592059
-4.30905165,-11.04720366
-4.321934453,-11.11545364
-4.33341273,-11.11737061
-4.34388197,-11.0716292
-4.353743886,-11.11495278
